gender,age_group,run,patients,patients_with_ddi
Female,35-39,20,588178,9718
Female,35-39,21,588178,26193
Female,35-39,22,588178,12509
Female,35-39,23,588178,35418
Female,35-39,24,588178,13512
Female,35-39,25,588178,27184
Female,35-39,26,588178,23229
Female,35-39,27,588178,23985
Female,35-39,28,588178,11865
Female,35-39,29,588178,74994
Female,35-39,30,588178,10694
Female,35-39,31,588178,23734
Female,35-39,32,588178,7882
Female,35-39,33,588178,52339
Female,35-39,34,588178,7868
Female,35-39,35,588178,12710
Female,35-39,36,588178,8620
Female,35-39,37,588178,17211
Female,35-39,38,588178,6491
Female,35-39,39,588178,11851
Female,35-39,40,588178,23601
Female,35-39,41,588178,27796
Female,35-39,42,588178,12250
Female,35-39,43,588178,36323
Female,35-39,44,588178,17486
Female,35-39,45,588178,7582
Female,35-39,46,588178,20203
Female,35-39,47,588178,27884
Female,35-39,48,588178,13765
Female,35-39,49,588178,28191
Female,35-39,50,588178,12362
Female,35-39,51,588178,19067
Female,35-39,52,588178,8740
Female,35-39,53,588178,8696
Female,35-39,54,588178,11983
Female,35-39,55,588178,11004
Female,35-39,56,588178,8423
Female,35-39,57,588178,14113
Female,35-39,58,588178,27741
Female,35-39,59,588178,7605
Female,35-39,60,588178,35856
Female,35-39,61,588178,30509
Female,35-39,62,588178,18526
Female,35-39,63,588178,17638
Female,35-39,64,588178,43781
Female,35-39,65,588178,13972
Female,35-39,66,588178,4243
Female,35-39,67,588178,29943
Female,35-39,68,588178,67662
Female,35-39,69,588178,33086
Female,35-39,70,588178,21787
Female,35-39,71,588178,18299
Female,35-39,72,588178,17526
Female,35-39,73,588178,48982
Female,35-39,74,588178,26000
Female,35-39,75,588178,34849
Female,35-39,76,588178,26978
Female,35-39,77,588178,22945
Female,35-39,78,588178,8252
Female,35-39,79,588178,8525
Female,35-39,80,588178,15390
Female,35-39,81,588178,24891
Female,35-39,82,588178,26471
Female,35-39,83,588178,24283
Female,35-39,84,588178,12527
